in s,Math in V
-4.650000E-04,-1.22186E-02
-4.649500E-04,3.07546E-02
-4.649000E-04,5.41848E-02
-4.648500E-04,-6.83745E-03
-4.648000E-04,-3.76001E-02
-4.647500E-04,1.41537E-02
-4.647000E-04,4.93066E-02
-4.646500E-04,3.02667E-02
-4.646000E-04,-2.68682E-02
-4.645500E-04,-2.14871E-02
-4.645000E-04,4.10138E-02
-4.644500E-04,4.19895E-02
-4.644000E-04,-1.95933E-03
-4.643500E-04,-2.29505E-02
-4.643000E-04,9.27559E-03
-4.642500E-04,5.36970E-02
-4.642000E-04,2.04953E-02
-4.641500E-04,-1.95358E-02
-4.641000E-04,-4.39839E-03
-4.640500E-04,2.14709E-02
-4.640000E-04,4.24773E-02
-4.639500E-04,-1.02674E-02
-4.639000E-04,-1.27064E-02
-4.638500E-04,2.39252E-02
-4.638000E-04,2.78277E-02
-4.637500E-04,1.31781E-02
-4.637000E-04,-1.66089E-02
-4.636500E-04,9.76340E-03
-4.636000E-04,4.29651E-02
-4.635500E-04,8.29996E-03
-4.635000E-04,-1.07552E-02
-4.634500E-04,-4.39839E-03
-4.634000E-04,3.36814E-02
-4.633500E-04,4.44285E-02
-4.633000E-04,-1.75846E-02
-4.632500E-04,-1.85602E-02
-4.632000E-04,1.85440E-02
-4.631500E-04,5.02823E-02
-4.631000E-04,2.04953E-02
-4.630500E-04,-3.56488E-02
-4.630000E-04,-4.88620E-03
-4.629500E-04,4.78432E-02
-4.629000E-04,3.80717E-02
-4.628500E-04,-8.80394E-03
-4.628000E-04,-3.66245E-02
-4.627500E-04,2.09831E-02
-4.627000E-04,5.90781E-02
-4.626500E-04,1.51293E-02
-4.626000E-04,-2.44292E-02
-4.625500E-04,-1.51455E-02
-4.625000E-04,4.63798E-02
-4.624500E-04,4.29651E-02
-4.624000E-04,-1.56333E-02
-4.623500E-04,-2.29505E-02
-4.623000E-04,1.26903E-02
-4.622500E-04,4.49163E-02
-4.622000E-04,1.95196E-02
-4.621500E-04,-2.44292E-02
-4.621000E-04,4.87003E-03
-4.620500E-04,3.56327E-02
-4.620000E-04,2.39252E-02
-4.619500E-04,-7.81307E-03
-4.619000E-04,-7.81307E-03
-4.618500E-04,2.88033E-02
-4.618000E-04,3.70961E-02
-4.617500E-04,-6.83745E-03
-4.617000E-04,-9.77957E-03
-4.616500E-04,1.90318E-02
-4.616000E-04,4.19895E-02
-4.615500E-04,7.81215E-03
-4.615000E-04,-2.49170E-02
-4.614500E-04,7.30909E-03
-4.614000E-04,4.00382E-02
-4.613500E-04,3.27058E-02
-4.613000E-04,-2.14871E-02
-4.612500E-04,-2.00236E-02
-4.612000E-04,3.66083E-02
-4.611500E-04,5.17457E-02
-4.611000E-04,-9.83708E-04
-4.610500E-04,-3.85757E-02
-4.610000E-04,1.45535E-03
-4.609500E-04,5.22335E-02
-4.609000E-04,3.61205E-02
-4.608500E-04,-2.24627E-02
-4.608000E-04,-2.39261E-02
-4.607500E-04,3.31936E-02
-4.607000E-04,5.51756E-02
-4.606500E-04,1.12268E-02
-4.606000E-04,-2.63804E-02
-4.605500E-04,6.33347E-03
-4.605000E-04,4.63798E-02
-4.604500E-04,3.27058E-02
-4.604000E-04,-1.07552E-02
-4.603500E-04,-1.46577E-02
-4.603000E-04,2.39252E-02
-4.602500E-04,4.63798E-02
-4.602000E-04,-2.93496E-03
-4.601500E-04,-1.51455E-02
-4.601000E-04,1.51293E-02
-4.600500E-04,3.41692E-02
